model,dataset,id,has_plume,qplume,difficulty,TP,FP,FN,TN,precision,recall,f1,iou,accuracy
methane_depth_reduced.xmodel,"/home/root/STARCOP_test",ang20191018t141549_r19200_c0_w512_h512,False,0,no_plume,0,0,0,262144,0,0,0,0,1
methane_depth_reduced.xmodel,"/home/root/STARCOP_test",ang20191018t141549_r18688_c0_w512_h512,False,0,no_plume,0,0,0,262144,0,0,0,0,1
methane_depth_reduced.xmodel,"/home/root/STARCOP_test",ang20191018t141549_r11008_c0_w512_h512,False,0,no_plume,0,0,0,262144,0,0,0,0,1
methane_depth_reduced.xmodel,"/home/root/STARCOP_test",ang20191018t141549_r6656_c0_w512_h512,False,0,no_plume,0,0,0,262144,0,0,0,0,1
methane_depth_reduced.xmodel,"/home/root/STARCOP_test",ang20191018t144405_r16384_c256_w512_h512,False,0,no_plume,0,0,0,262144,0,0,0,0,1
methane_depth_reduced.xmodel,"/home/root/STARCOP_test",ang20191018t144405_r15616_c256_w512_h512,False,0,no_plume,0,0,0,262144,0,0,0,0,1
methane_depth_reduced.xmodel,"/home/root/STARCOP_test",ang20191018t144405_r12032_c0_w512_h512,False,0,no_plume,0,0,0,262144,0,0,0,0,1
methane_depth_reduced.xmodel,"/home/root/STARCOP_test",ang20191018t144405_r19456_c0_w512_h512,False,0,no_plume,0,0,0,262144,0,0,0,0,1
methane_depth_reduced.xmodel,"/home/root/STARCOP_test",ang20191018t150906_r4352_c0_w512_h512,False,0,no_plume,0,5,0,262139,0,0,0,0,0.999980926514
methane_depth_reduced.xmodel,"/home/root/STARCOP_test",ang20191018t150906_r1024_c0_w512_h512,False,0,no_plume,0,0,0,262144,0,0,0,0,1
methane_depth_reduced.xmodel,"/home/root/STARCOP_test",ang20191018t150906_r3072_c0_w512_h512,False,0,no_plume,0,0,0,262144,0,0,0,0,1
methane_depth_reduced.xmodel,"/home/root/STARCOP_test",ang20191018t150906_r7168_c0_w512_h512,False,0,no_plume,0,15,0,262129,0,0,0,0,0.999942779541
methane_depth_reduced.xmodel,"/home/root/STARCOP_test",ang20191018t153724_r18688_c0_w512_h512,False,0,no_plume,0,0,0,262144,0,0,0,0,1
methane_depth_reduced.xmodel,"/home/root/STARCOP_test",ang20191018t153724_r18176_c0_w512_h512,False,0,no_plume,0,0,0,262144,0,0,0,0,1
methane_depth_reduced.xmodel,"/home/root/STARCOP_test",ang20191018t153724_r3840_c0_w512_h512,False,0,no_plume,0,0,0,262144,0,0,0,0,1
methane_depth_reduced.xmodel,"/home/root/STARCOP_test",ang20191018t153724_r13824_c0_w512_h512,False,0,no_plume,0,0,0,262144,0,0,0,0,1
methane_depth_reduced.xmodel,"/home/root/STARCOP_test",ang20191018t160154_r0_c0_w512_h512,False,0,no_plume,0,0,0,262144,0,0,0,0,1
methane_depth_reduced.xmodel,"/home/root/STARCOP_test",ang20191018t160154_r512_c0_w512_h512,False,0,no_plume,0,152,0,261992,0,0,0,0,0.999420166016
methane_depth_reduced.xmodel,"/home/root/STARCOP_test",ang20191018t160154_r11776_c0_w512_h512,False,0,no_plume,0,0,0,262144,0,0,0,0,1
methane_depth_reduced.xmodel,"/home/root/STARCOP_test",ang20191018t160154_r9472_c0_w512_h512,False,0,no_plume,0,0,0,262144,0,0,0,0,1
methane_depth_reduced.xmodel,"/home/root/STARCOP_test",ang20191018t163108_r16896_c0_w512_h512,False,0,no_plume,0,204,0,261940,0,0,0,0,0.999221801758
methane_depth_reduced.xmodel,"/home/root/STARCOP_test",ang20191018t163108_r13824_c0_w512_h512,False,0,no_plume,0,98,0,262046,0,0,0,0,0.999626159668
methane_depth_reduced.xmodel,"/home/root/STARCOP_test",ang20191018t163108_r18176_c0_w512_h512,False,0,no_plume,0,0,0,262144,0,0,0,0,1
